Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	3216.0,	42644.0,	394272,	243.0,	4942.0,	1968225,	0.0,	4882.0,	419510,	
Conv2,	-40141.0,	-1.0,	401408,	-1383.0,	-1.0,	13824,	45901.0,	46509.0,	6084,	256.0,	45900.0,	2342268,	0.0,	45800.0,	3512592,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	1916.0,	33602.0,	802816,	288.0,	6035.0,	2408448,	0.0,	5875.0,	606080,	
Conv4,	-52429.0,	13317.0,	830592,	-692.0,	-1.0,	6912,	21505.0,	21658.0,	1536,	256.0,	21504.0,	990720,	0.0,	21312.0,	1756284,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	2300.0,	42441.0,	401408,	320.0,	3769.0,	798720,	0.0,	3641.0,	408000,	
Conv6,	-40141.0,	-1.0,	401408,	-1383.0,	-1.0,	13824,	41221.0,	41371.0,	1508,	256.0,	41220.0,	1725588,	0.0,	40992.0,	3386988,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	5112.0,	45254.0,	401408,	384.0,	8115.0,	798720,	0.0,	7923.0,	815872,	
Conv8,	-38720.0,	-1.0,	387200,	-346.0,	-1.0,	3456,	10369.0,	10407.0,	384,	256.0,	10368.0,	445824,	0.0,	10112.0,	846747,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	2829.0,	22489.0,	196608,	384.0,	2828.0,	299264,	0.0,	2684.0,	331648,	
Conv10,	-20071.0,	-1.0,	200704,	-692.0,	-1.0,	6912,	20737.0,	20775.0,	384,	256.0,	20736.0,	891648,	0.0,	20480.0,	1571382,	
Conv11,	-20071.0,	-1.0,	200704,	-6631.0,	-1.0,	66304,	4889.0,	15128.0,	102400,	256.0,	4888.0,	303616,	0.0,	4744.0,	465920,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	6913.0,	6925.0,	128,	256.0,	6912.0,	297216,	0.0,	6656.0,	394002,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	1791.0,	8344.0,	65536,	256.0,	1790.0,	163840,	0.0,	1534.0,	182528,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13825.0,	13837.0,	128,	256.0,	13824.0,	594432,	0.0,	13568.0,	672804,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	3581.0,	10134.0,	65536,	256.0,	3580.0,	327680,	0.0,	3324.0,	365056,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13825.0,	13837.0,	128,	256.0,	13824.0,	594432,	0.0,	13568.0,	672804,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	3581.0,	10134.0,	65536,	256.0,	3580.0,	327680,	0.0,	3324.0,	365056,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13825.0,	13837.0,	128,	256.0,	13824.0,	594432,	0.0,	13568.0,	672804,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	3581.0,	10134.0,	65536,	256.0,	3580.0,	327680,	0.0,	3324.0,	365056,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13825.0,	13837.0,	128,	256.0,	13824.0,	594432,	0.0,	13568.0,	672804,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	3581.0,	10134.0,	65536,	256.0,	3580.0,	327680,	0.0,	3324.0,	365056,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13825.0,	13837.0,	128,	256.0,	13824.0,	594432,	0.0,	13568.0,	672804,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	3581.0,	10134.0,	65536,	256.0,	3580.0,	327680,	0.0,	3324.0,	365056,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	10513.0,	10516.0,	36,	256.0,	10512.0,	47952,	0.0,	10348.0,	175140,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	5313.0,	10330.0,	50176,	256.0,	5312.0,	210308,	0.0,	5135.0,	553984,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	19081.0,	19081.0,	9,	256.0,	19080.0,	6480,	0.0,	18943.0,	101448,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	5405.0,	1048576,	10625.0,	15642.0,	50176,	256.0,	10624.0,	420616,	0.0,	10447.0,	1107968,	
